id,x_coord,y_coord,demand,start_time,end_time,service_time
92,19445,6559,1,81,112,3
93,8139,6139,21,69,97,3
94,16635,6827,29,42,70,3
95,15618,8482,34,48,82,3
96,15038,3065,32,34,60,3
97,7739,4735,46,34,61,3
98,4368,4193,4,28,56,3
99,2890,4698,19,34,64,3
100,15451,17254,7,56,85,3
101,19429,11071,1,47,77,3
102,8215,8343,11,45,75,3
103,7560,18722,23,98,125,3
104,12890,9391,27,73,100,3
105,16884,15734,16,63,88,3
106,4174,8405,45,78,107,3
107,16019,8172,1,69,95,3
108,2030,16415,36,91,121,3
109,470,12470,12,52,81,3
110,251,3723,39,47,83,3
111,19642,11737,18,22,51,3
112,5857,9227,43,53,83,3
113,14930,6531,22,66,98,3
114,19207,6884,24,90,119,3
115,5904,1994,21,12,34,3
116,10103,14050,47,13,47,3
117,16788,7196,10,83,110,3
118,6694,4299,1,100,131,3
119,3980,10061,13,53,78,3
120,10148,19709,1,30,56,3
121,17825,16116,32,87,109,3
122,5953,4154,21,84,110,3
123,6117,7716,20,98,120,3
124,11112,17638,16,39,75,3
125,19343,13709,29,38,66,3
126,57,7033,1,48,77,3
127,13801,7430,11,29,68,3
128,11998,14692,35,27,60,3
129,18023,2484,20,100,128,3
130,16075,4796,38,77,110,3
131,9171,6348,41,62,91,3
132,14976,11643,36,65,91,3
133,2927,7799,44,83,107,3
134,18226,11477,11,63,91,3
135,11547,1647,25,34,66,3
136,6422,3614,11,91,117,3
137,16658,5651,34,69,103,3
138,7196,11515,13,24,54,3
139,16035,6407,1,37,58,3
140,3699,1087,30,32,59,3
141,11996,4513,1,21,49,3
142,18112,12404,27,39,65,3
143,14526,15357,24,27,51,3
144,4215,2383,3,96,121,3
145,10179,8447,1,41,68,3
146,3171,14989,1,34,58,3
147,780,12813,1,27,58,3
148,16658,3340,37,58,81,3
149,19242,15453,11,57,85,3
150,17709,9507,23,41,71,3
151,10915,9015,23,23,57,3
152,5080,17578,12,10,37,3
153,1893,12804,1,32,65,3
154,7853,5594,26,25,63,3
155,5037,18625,21,93,126,3
156,8276,19362,42,85,117,3
157,17506,5748,20,11,41,3
158,19978,11277,1,79,112,3
159,355,37,1,73,100,3
160,8120,10170,19,34,62,3
161,17807,971,5,43,80,3
162,936,6179,1,88,119,3
163,19485,1854,64,59,90,3
164,14125,19454,41,45,71,3
165,12178,17331,11,63,94,3
166,5478,11359,17,90,118,3
167,7046,11314,1,40,65,3
168,4347,9515,2,68,100,3
169,7174,3034,25,52,80,3
170,7499,818,39,35,68,3
171,1049,14148,33,52,87,3
172,18354,15713,36,13,45,3
173,17298,18294,7,91,122,3
174,17748,15052,26,84,115,3
175,3252,14273,28,79,109,3
176,6500,6653,21,72,98,3
177,3405,16104,36,53,82,3
178,2469,19269,6,91,125,3
179,4139,1975,42,96,120,3
